Expected,Predicted
satıyor olmalı mıydık,satıyor olmalı mıydık
hamızlarından,hamizlerinden
ovmaz mıydı,ovmaz mıydı
yıpranmamalı mıymışsınız,yıpranmameli miymişsiniz
hüzünlerde,hüzünlerde
manivelanızda,manivelanızda
dokuyor olmalısın,dokuyor olmalısın
barışmamalılar mıydı,barışmamalılar mıydı
sahipli yazılımlarımızı,sahipli yazılımlarımızı
yanıt vermedim mi,yanıt vermedim mi
onayacak olacak mısın,onayacak olacak mısın
tıklamış olacaktın,tıklamış olacaktın
prostatınızdan,prostatınızdan
damlarlar mı,damlarlar mı
hareket ediyor olacaktınız,hareket ediyor olacaktınız
dolmeliler,dolmeliler
yaratılarda,yaratılarda
kırdırtmayacakmışım,kırdırtmayacakmışım
kurutuyor olmalıydınız,kurutuyor olmalıydınız
fındık kıracak olmayacağım,fındık kıracak olmayacağım
geyimizde,geyimizde
ilklendirmezler mi,ilklendirmezler mi
sivrisineklerinin,sivrisineklerinin
kovuluyor olmazdınız,kovuluyor olmazdınız
keselerimiz,keselerimiz
kırdırmamış,kırdırmamış
ilerletecek olacak mıymışız,ilerletecek olacak mıymışız
gazetenizi,gazetenizi
yaptırtır mı,yaptırtır mı
kurtarmamelisin,kurtarmamelisin
karıştırıyor olmamalı mıymışız,karıştırıyor olmamalı mıymışız
ipeklere,ipeklere
baltamızın,baltamızın
yakışıklıyız,yakışıklıyız
ispatlamış mıydı,ispatlamış mıydı
kozlarmışım,kozlarmışım
akrebinizi,akrebinizi
öksürmeyecek miyim,öksürmeyecek miyim
haberleşiyor olmayacak mıydı,haberleşiyor olmayacak mıydı
sürülecek olacak mı,sürülecek olacak mı
onamamışmış,onamamışmış
yoldurtmuşum,yoldurtmuşum
salıyor olacak mıyız,salıyor olacak mıyız
öğretmeyiniz,öğretmeyiniz
sarılmadı mı,sarılmadı mı
ibnelerinde,ibnende
taşeronlarından,taşeronlarından
emmez,emmez
kovar mısınız,kovar mısınız
mezarlıklarından,mezarlıklarından
dervişlerinizden,dervişlerinizden
çıkarıyor olmamalı mıymışsın,çıkarıyor olmamalı mıymışsın
söz vermiş olacağız,söz vermiş olacağız
kaynaştırtıyor olmayacakmışım,kaynaştırtıyor olmayacakmışım
kaplanlarda,kaplanlarda
yırtar mıymışsın,yırtar mıymışsın
süründürüyor olmalıydın,süründürüyor olmalıydın
içereceksiniz,içereceksiniz
heyecanlanmıyor musunuz,heyecanlanmıyor musunuz
ağlamamışmışız,ağlamamışmışız
şikâyet eder olmayacakmışız,şikâyet eder olmayacakmışız
aldırtırmacak olmayacağım,aldırtırmacak olmayacağım
güzelleştirmiştiniz,güzelleştirmiştiniz
gülmemeli miydim,gülmemeli miydim
dublörlerinizden,dublörlerinizden
mimlerde,mimlerde
süt sağmadın,süt sağmadın
kâğıtları,kâğıtları
imreniyor olmayacakmışsın,imreniyor olmayacakmışsın
bakıcıydık,bakıcıydık
kovdurtmalı mıymışsın,kovdurtmalı mıymışsın
duracak mısın,duracak mı
koklamıyorlar mı,koklamıyorlar mı
kanıtladı mıydı,kanıtladı mıydı
parçalanıyor olmamalıydınız,parçalanıyor olmamalıydınız
itmeli miymişsiniz,itmeli miymişsiniz
tayfalardın,tayfalardın
yalın durumunuza,yalın durumunuza
saksolarında,saksolarında
saklamıyormuşsunuz,saklamıyormuşsunuz
ayarlanmazmışsınız,ayarlanmazmışsınız
el sıkışıyor olmayacaktık,el sıkışıyor olmayacaktık
sıyırmayınız,sıyırmayınız
edebiyatından,edebiyatından
gelirlerinde,gelirinde
büyüleyici değildi,büyüleyici değildi
sekecek olacakmışım,sekecek olacakmışım
helvalarından,helvalarından
dövmeyeceklermiş,dövmeyeceklermiş
solumuyor muyduk,solumuyor muyduk
kalıbı dinlendiriyor olacağım,kalıbı dinlendiriyor olacağım
oturmalıymışsınız,oturmalıymışsınız
panteistte,pantestde
kurtarmayacak mısınız,kurtarmayacak mısınız
sürünüyor muymuşuz,sürünüyor muymuşuz
kanıtladılardı,kanıtladılardı
dönmüş müymüşüz,dönmüş müymüşüz
bir avuç toprak olmuştunuz,bir avuç toprak olmuştunuz
eğer miyiz,eğer miyiz
yağmanızda,yağmanızda
işletimdi,işletimdı
süründürtmeyecekmişim,süründürtmeyecekmişim
saydırmayacak mısınız,saydırmayacak mısınız
savunmadılar mıydı,savunmadılar mıydı
yapar,yapar
kıymıştın,kıymıştın
bahtsızmışım,bahtsızmışım
gidilir misiniz,gidilir misiniz
sikişmemeli miyim,sikişmemeli miyim
cisimlerimiz,cisimlerimiz
kanıtlamadıydınız,kanıtlamadıydınız
ittirtilmemeli miymişsin,ittirtilmemeli miymişsin
ittirtildiydik,ittirtildiydik
yoldurtmamış mıymışım,yoldurtmamış mıyım
giymiş olacaklardı,giymiş olacaklardı
acıktırtmamışlardı,acıktırtmışlardı
çürüyor olurlar mıydı,çürüyor olurlar mıydı
embriyolarım,embriyolarım
acıları,acıları
yapılıyor olurdum,yapılıyor olurdum
efelerdik,efelerdik
dövüşecek olmayacağım,dövüşecek olmayacağım
el sıkışıyor olacağız,el sıkışıyor olacağız
yoluyor olmayacaktın,yoluyor olmayacaktın
şişin,şişin
saklamalı mıymışsınız,saklamalı mıymışsınız
tıkar mısınız,tıkar mısınız
cavlağı çekmemiş miydi,cavlağı çekmemiş miydi
sunusu,sunusu
